SCHEMA1,TABLE1,COLUMN_NAME,DATA_TYPE1,SCHEMA2,TABLE2,DATA_TYPE2
ANALYTICS,VW_RENDER_UNITS,LABELS_GRANT_ID,TEXT,S3_STAGES,VW_RENDER_TICKETS,TEXT
ANALYTICS,VW_RENDER_UNITS,LABELS_GRANT_ID,TEXT,S3_STAGES,VW_RENDER_UNITS,TEXT
ANALYTICS,DROP_BURY_BY_DAY_V,PROJECT_ID,TEXT,S3_STAGES,DL_RENDER_TICKETS,TEXT
ANALYTICS,DROP_BURY_BY_DAY_V,PROJECT_ID,TEXT,S3_STAGES,VW_RENDER_TICKETS,TEXT
ANALYTICS,DROP_BURY_DT,PROJECT_ID,TEXT,S3_STAGES,DL_RENDER_TICKETS,TEXT
ANALYTICS,DROP_BURY_DT,PROJECT_ID,TEXT,S3_STAGES,VW_RENDER_TICKETS,TEXT
ANALYTICS,RENDER_TICKETS,PROJECT_ID,TEXT,S3_STAGES,DL_RENDER_TICKETS,TEXT
ANALYTICS,RENDER_TICKETS,PROJECT_ID,TEXT,S3_STAGES,VW_RENDER_TICKETS,TEXT
ANALYTICS,VW_RENDER_TICKETS,PROJECT_ID,TEXT,S3_STAGES,DL_RENDER_TICKETS,TEXT
ANALYTICS,VW_RENDER_TICKETS,PROJECT_ID,TEXT,S3_STAGES,VW_RENDER_TICKETS,TEXT
ANALYTICS,RENDER_TICKETS,RESOURCE_ID,TEXT,S3_STAGES,DL_RENDER_TICKETS,TEXT
ANALYTICS,RENDER_TICKETS,RESOURCE_ID,TEXT,S3_STAGES,VW_RENDER_TICKETS,TEXT
ANALYTICS,VW_RENDER_TICKETS,RESOURCE_ID,TEXT,S3_STAGES,DL_RENDER_TICKETS,TEXT
ANALYTICS,VW_RENDER_TICKETS,RESOURCE_ID,TEXT,S3_STAGES,VW_RENDER_TICKETS,TEXT
ANALYTICS,RENDER_TICKETS,TASK_ID,TEXT,S3_STAGES,DL_RENDER_TICKETS,TEXT
ANALYTICS,RENDER_TICKETS,TASK_ID,TEXT,S3_STAGES,DL_RENDER_UNITS,TEXT
ANALYTICS,RENDER_TICKETS,TASK_ID,TEXT,S3_STAGES,VW_RENDER_TICKETS,TEXT
ANALYTICS,RENDER_TICKETS,TASK_ID,TEXT,S3_STAGES,VW_RENDER_UNITS,TEXT
ANALYTICS,RENDER_UNITS,TASK_ID,TEXT,S3_STAGES,DL_RENDER_TICKETS,TEXT
ANALYTICS,RENDER_UNITS,TASK_ID,TEXT,S3_STAGES,DL_RENDER_UNITS,TEXT
ANALYTICS,RENDER_UNITS,TASK_ID,TEXT,S3_STAGES,VW_RENDER_TICKETS,TEXT
ANALYTICS,RENDER_UNITS,TASK_ID,TEXT,S3_STAGES,VW_RENDER_UNITS,TEXT
ANALYTICS,VW_RENDER_TICKETS,TASK_ID,TEXT,S3_STAGES,DL_RENDER_TICKETS,TEXT
ANALYTICS,VW_RENDER_TICKETS,TASK_ID,TEXT,S3_STAGES,DL_RENDER_UNITS,TEXT
ANALYTICS,VW_RENDER_TICKETS,TASK_ID,TEXT,S3_STAGES,VW_RENDER_TICKETS,TEXT
ANALYTICS,VW_RENDER_TICKETS,TASK_ID,TEXT,S3_STAGES,VW_RENDER_UNITS,TEXT
ANALYTICS,VW_RENDER_UNITS,TASK_ID,TEXT,S3_STAGES,DL_RENDER_TICKETS,TEXT
ANALYTICS,VW_RENDER_UNITS,TASK_ID,TEXT,S3_STAGES,DL_RENDER_UNITS,TEXT
ANALYTICS,VW_RENDER_UNITS,TASK_ID,TEXT,S3_STAGES,VW_RENDER_TICKETS,TEXT
ANALYTICS,VW_RENDER_UNITS,TASK_ID,TEXT,S3_STAGES,VW_RENDER_UNITS,TEXT
