TABLE_SCHEMA,TABLE_NAME,CONSTRAINT_TYPE,CONSTRAINT_NAME
ANALYTICS,SCHEMA_SNAPSHOTS,PRIMARY KEY,SYS_CONSTRAINT_f0e99470-e177-44e1-86f0-0de66d5b02d4
ANALYTICS,SCHEMA_SNAPSHOTS,UNIQUE,UK_SCHEMA_SNAPSHOT
