TABLE_SCHEMA,TABLE_NAME,COLUMN_NAME,DATA_TYPE,IS_NULLABLE
S3_STAGES,DL_RENDER_UNITS,CONTRACTOR,TEXT,YES
S3_STAGES,DL_RENDER_UNITS,INSTALLED_PER_TASK_NOTES,TEXT,YES
S3_STAGES,DL_RENDER_UNITS,LABELS_BLUEPRINT_ID,TEXT,YES
S3_STAGES,DL_RENDER_UNITS,LABELS_ERP_PROJECT_ID,TEXT,YES
S3_STAGES,DL_RENDER_UNITS,LABELS_GRANT_ID,TEXT,YES
S3_STAGES,DL_RENDER_UNITS,PROJECT,TEXT,YES
S3_STAGES,DL_RENDER_UNITS,TASK_ID,TEXT,YES
S3_STAGES,DL_RENDER_UNITS,TASK_NOTES,TEXT,YES
S3_STAGES,DL_RENDER_UNITS,TASK_TYPE,TEXT,YES
S3_STAGES,DL_RENDER_UNITS,UNIT_CODE,TEXT,YES
S3_STAGES,DL_RENDER_UNITS,UNIT_DESCRIPTION,TEXT,YES
S3_STAGES,DL_RENDER_UNITS,UNIT_TYPE,TEXT,YES
S3_STAGES,DL_VETRO_LOCATIONS,FABRIC_ID,TEXT,YES
S3_STAGES,DL_VETRO_LOCATIONS,ID,TEXT,YES
S3_STAGES,DL_VETRO_LOCATIONS,PREMISE_ID,TEXT,YES
S3_STAGES,DL_VETRO_LOCATIONS,PREM_ID,TEXT,YES
S3_STAGES,DL_VETRO_LOCATIONS,SERVICE_ZONE_ID,TEXT,YES
S3_STAGES,DL_VETRO_LOCATIONS,UNIT_NUMBER,TEXT,YES
S3_STAGES,DL_VETRO_LOCATIONS,VETRO_ID,TEXT,YES
S3_STAGES,DL_VETRO_LOCATIONS,V_PROJECT,TEXT,YES
S3_STAGES,VW_LABOR_CODES,UNIT_CODE,TEXT,YES
S3_STAGES,VW_RENDER_ASSETS,ASSET_ID,TEXT,YES
S3_STAGES,VW_RENDER_ASSETS,CONSTRUCTION_TASK_COMPLETE,TEXT,YES
S3_STAGES,VW_RENDER_ASSETS,CONSTRUCTION_TASK_ID,TEXT,YES
S3_STAGES,VW_RENDER_ASSETS,CONSTRUCTION_TASK_NET_ID,TEXT,YES
S3_STAGES,VW_RENDER_ASSETS,INSPECTION_TASK_BLUEPRINTED,TEXT,YES
S3_STAGES,VW_RENDER_ASSETS,INSPECTION_TASK_TYPE,TEXT,YES
S3_STAGES,VW_RENDER_TICKETS,ASSET_ID,TEXT,YES
S3_STAGES,VW_RENDER_TICKETS,CONTRACTOR,TEXT,YES
S3_STAGES,VW_RENDER_TICKETS,GROUP_ID,TEXT,YES
S3_STAGES,VW_RENDER_TICKETS,LABELS_GRANT_ID,TEXT,YES
S3_STAGES,VW_RENDER_TICKETS,PROJECT_ID,TEXT,YES
S3_STAGES,VW_RENDER_TICKETS,RESOURCE_ID,TEXT,YES
S3_STAGES,VW_RENDER_TICKETS,TASK,TEXT,YES
S3_STAGES,VW_RENDER_TICKETS,TASK_ID,TEXT,YES
S3_STAGES,VW_RENDER_UNITS,ASSET_ID,TEXT,YES
S3_STAGES,VW_RENDER_UNITS,CONTRACTOR,TEXT,YES
S3_STAGES,VW_RENDER_UNITS,INSTALLED_PER_TASK_NOTES,TEXT,YES
S3_STAGES,VW_RENDER_UNITS,LABELS_BLUEPRINT_ID,TEXT,YES
S3_STAGES,VW_RENDER_UNITS,LABELS_ERP_PROJECT_ID,TEXT,YES
S3_STAGES,VW_RENDER_UNITS,LABELS_GRANT_ID,TEXT,YES
S3_STAGES,VW_RENDER_UNITS,PROJECT,TEXT,YES
S3_STAGES,VW_RENDER_UNITS,TASK_ID,TEXT,YES
S3_STAGES,VW_RENDER_UNITS,TASK_NOTES,TEXT,YES
S3_STAGES,VW_RENDER_UNITS,TASK_TYPE,TEXT,YES
S3_STAGES,VW_RENDER_UNITS,UNIT_CODE,TEXT,YES
S3_STAGES,VW_RENDER_UNITS,UNIT_DESCRIPTION,TEXT,YES
S3_STAGES,VW_RENDER_UNITS,UNIT_TYPE,TEXT,YES
S3_STAGES,VW_VETRO_LOCATIONS,FABRIC_ID,TEXT,YES
S3_STAGES,VW_VETRO_LOCATIONS,ID,TEXT,YES
S3_STAGES,VW_VETRO_LOCATIONS,PREMISE_ID,TEXT,YES
S3_STAGES,VW_VETRO_LOCATIONS,PREM_ID,TEXT,YES
S3_STAGES,VW_VETRO_LOCATIONS,SERVICE_ZONE_ID,TEXT,YES
S3_STAGES,VW_VETRO_LOCATIONS,UNIT_NUMBER,TEXT,YES
S3_STAGES,VW_VETRO_LOCATIONS,VETRO_ID,TEXT,YES
S3_STAGES,VW_VETRO_LOCATIONS,V_PROJECT,TEXT,YES
